Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
49385,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,4708,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,25621,1,1,49,65,49,49,49.0,0.0,65,65,65.0,0.0,4449.47504,78.06096561,25621.0,0.0,25621,25621,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,39.03048281,39.03048281,49,65,54.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,81.5,49.0,65.0,20,0,0,0,0,0,0,1,49,1,65,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5491530,8,7,744,3719,517,0,93.0,178.7056638,1460,2,531.2857143,645.2345089,812.7061129,2.731479205,392252.1429,1309526.331,4936200,17,5491530,784504.2857,1834230.111,4936200,48,446343,74390.5,87964.47246,213891,191,0,0,0,0,172,144,1.456788909,1.274690296,0,1460,278.9375,484.5383327,234777.3958,0,0,0,1,0,0,0,0,0,297.5333333,93.0,531.2857143,172,0,0,0,0,0,0,8,744,7,3719,8192,16616,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,110,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,109090.9091,18181.81818,110.0,0.0,110,110,110,110.0,0.0,110,110,0,0.0,0.0,0,0,0,0,0,0,40,0,18181.81818,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,254,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,121081,1,1,43,282,43,43,43.0,0.0,282,282,282.0,0.0,2684.153583,16.5178682,121081.0,0.0,121081,121081,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,56,32,8.258934102,8.258934102,43,282,122.6666667,137.9867143,19040.33333,0,0,0,0,0,0,0,0,1,184.0,43.0,282.0,56,0,0,0,0,0,0,1,43,1,282,-1,-1,0,56,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,10203923,4,3,441,446,441,0,110.25,220.5,446,0,148.6666667,257.4982201,86.92735137,0.686010665,1700653.833,4066205.589,10000000,27,203785,67928.33333,58690.69545,106292,365,10100000,5053413.0,6995763.768,10000000,106661,0,0,0,0,136,104,0.392006094,0.294004571,0,446,110.875,205.3049561,42150.125,0,0,0,1,0,0,0,0,0,126.7142857,110.25,148.6666667,136,0,0,0,0,0,0,4,441,3,446,29200,11,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49541,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,1622,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,73112,1,1,58,139,58,58,58.0,0.0,139,139,139.0,0.0,2694.496116,27.35529051,73112.0,0.0,73112,73112,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,13.67764526,13.67764526,58,139,85.0,46.7653718,2187.0,0,0,0,0,0,0,0,0,1,127.5,58.0,139.0,20,0,0,0,0,0,0,1,58,1,139,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49483,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,123,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5396575,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.223632582,0.741210861,1798858.333,3034065.804,5301871,108,5396575,2698287.5,3682023.096,5301871,94704,0,0.0,0.0,0,0,0,0,0,0,72,32,0.555908145,0.185302715,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,26883,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5169956,8,6,1101,4222,410,0,137.625,185.7586279,3525,0,703.6666667,1395.868284,1029.602573,2.707953414,397688.9231,1368409.299,4951173,112,218783,31254.71429,30686.29396,78311,219,5169833,1033966.6,2218975.06,5002421,840,0,0,0,0,172,132,1.547401951,1.160551463,0,3525,354.8666667,895.1151456,801231.1238,0,0,0,1,0,0,0,0,0,380.2142857,137.625,703.6666667,172,0,0,0,0,0,0,8,1101,6,4222,8192,254,7,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
465,302905,2,1,43,6,37,6,21.5,21.92031022,6,6,6.0,0.0,161.7668906,9.904095343,151452.5,144184.0224,253406,49499,302905,302905.0,0.0,302905,302905,0,0.0,0.0,0,0,0,0,0,0,40,20,6.602730229,3.301365114,6,37,13.75,15.5,240.25,0,0,0,0,1,0,0,0,0,18.33333333,21.5,6.0,40,0,0,0,0,0,0,2,43,1,6,255,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,68072226,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.82053359,0.058761116,22700000.0,39200000.0,67900000,71924,68000000,68000000.0,0.0,68000000,68000000,68000000,68000000.0,0.0,68000000,68000000,0,0,0,0,64,64,0.029380558,0.029380558,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,64,0,0,0,0,0,0,2,96,2,96,-1,-1,1,32,71924.0,0.0,71924,71924,67900000.0,0.0,67900000,67900000,BENIGN
443,21036828,10,10,785,6090,430,0,78.5,140.0866795,1460,0,609.0,648.1714451,326.8078248,0.950713672,1107201.474,3115036.368,10000000,3,11100000,1234280.222,3291860.263,10000000,177,21000000,2331768.0,4353228.377,10100000,3,0,0,0,0,212,224,0.475356836,0.475356836,0,1460,327.3809524,523.3279542,273872.1476,0,0,0,1,0,0,0,0,1,343.75,78.5,609.0,212,0,0,0,0,0,0,10,785,10,6090,8192,227,9,20,579191.0,747154.4808,1107509,50873,9939221.5,87386.37734,10000000,9877430,BENIGN
53,23597,1,1,48,128,48,48,48.0,0.0,128,128,128.0,0.0,7458.575243,84.75653685,23597.0,0.0,23597,23597,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,42.37826842,42.37826842,48,128,74.66666667,46.18802154,2133.333333,0,0,0,0,0,0,0,0,1,112.0,48.0,128.0,20,0,0,0,0,0,0,1,48,1,128,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5084135,8,7,378,3833,197,0,47.25,73.61046121,1410,0,547.5714286,632.0263331,828.2628215,2.950354387,363152.5,1326984.978,4973391,1,5084135,726305.0,1872846.961,4973391,1,88676,14779.33333,25941.22927,64671,48,0,0,0,0,172,152,1.57352234,1.376832047,0,1410,263.1875,479.102803,229539.4958,0,0,0,1,0,0,0,0,0,280.7333333,47.25,547.5714286,172,0,0,0,0,0,0,8,378,7,3833,8192,115,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,4251357,1,3,0,31,0,0,0.0,0.0,31,0,10.33333333,17.89785834,7.291789422,0.940876054,1417119.0,2356037.303,4136833,3,0,0.0,0.0,0,0,4136836,2068418.0,2925180.546,4136833,3,0,0,0,0,32,96,0.235219014,0.705657041,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,3,7.75,0.0,10.33333333,32,0,0,0,0,0,0,1,0,3,31,980,1028,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,67871,1,1,49,316,49,49,49.0,0.0,316,316,316.0,0.0,5377.849155,29.4676666,67871.0,0.0,67871,67871,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,14.7338333,14.7338333,49,316,138.0,154.1525219,23763.0,0,0,0,0,0,0,0,0,1,207.0,49.0,316.0,32,0,0,0,0,0,0,1,49,1,316,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,230481,10,6,564,4137,207,0,56.4,74.14580231,2313,0,689.5,964.2577975,20396.4752,69.42003896,15365.4,19684.77293,56692,2,230481,25609.0,20060.05312,56692,4,164967,32993.4,45155.23194,94010,2,0,0,0,0,212,132,43.38752435,26.03251461,0,2313,276.5294118,626.6353722,392671.8897,0,0,0,1,0,0,0,0,0,293.8125,56.4,689.5,212,0,0,0,0,0,0,10,564,6,4137,8192,343,9,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,115669790,20,17,1506,1180,871,0,75.3,220.1743567,1012,0,69.41176471,246.2800892,23.22127498,0.319876089,3213049.722,4636319.023,10000000,48,116000000,6087883.684,4873729.531,10100000,48,111000000,6933368.875,4772410.251,10100000,453,0,0,0,0,648,552,0.172905994,0.146970095,0,1012,70.68421053,226.4276157,51269.46515,0,0,0,1,0,0,0,0,0,72.59459459,75.3,69.41176471,648,0,0,0,0,0,0,20,1506,17,1180,29200,362,4,32,76599.36364,132102.1073,474902,36591,10000000.0,17143.10451,10000000,9959919,BENIGN
443,528064,16,15,7077,10274,1493,0,442.3125,526.3638436,1797,0,684.9333333,700.6024414,32857.75967,58.70500545,17602.13333,21979.98419,54157,3,528064,35204.26667,40932.84623,113499,3,464809,33200.64286,23455.30732,56411,49,0,0,0,0,332,312,30.29935765,28.4056478,0,1797,542.21875,616.6221583,380222.8861,0,0,0,1,0,0,0,0,0,559.7096774,442.3125,684.9333333,332,0,0,0,0,0,0,16,7077,15,10274,8192,256,15,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30698,1,1,55,139,55,55,55.0,0.0,139,139,139.0,0.0,6319.629943,65.15082416,30698.0,0.0,30698,30698,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.57541208,32.57541208,55,139,83.0,48.49742261,2352.0,0,0,0,0,0,0,0,0,1,124.5,55.0,139.0,20,0,0,0,0,0,0,1,55,1,139,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,1829,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1093.493712,1829.0,0.0,1829,1829,1829,1829.0,0.0,1829,1829,0,0.0,0.0,0,0,0,0,0,0,64,0,1093.493712,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,242,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,64053427,7,2,187,92,46,6,26.71428571,20.0890873,46,46,46.0,0.0,4.355738843,0.140507705,8006678.375,20600000.0,58800000,49,64100000,10700000.0,23600000.0,58800000,49,59000000,59000000.0,0.0,59000000,59000000,1,0,0,0,140,40,0.10928377,0.031223934,6,46,32.5,18.86354509,355.8333333,0,1,0,0,1,0,0,0,0,36.11111111,26.71428571,46.0,140,0,0,0,0,0,0,7,187,2,92,257,469,6,20,235836.0,0.0,235836,235836,58800000.0,0.0,58800000,58800000,BENIGN
50434,2283,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,5256.241787,876.0402979,2283.0,0.0,2283,2283,2283,2283.0,0.0,2283,2283,0,0.0,0.0,0,0,0,0,0,0,40,0,876.0402979,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,14472,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5136602,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,32.90112802,1.168087385,1027320.4,2273690.313,5094531,3,5136602,1284150.5,2540304.461,5094531,3,0,0.0,0.0,0,0,1,0,0,0,160,32,0.973406154,0.194681231,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,570,357,2,32,36515.0,0.0,36515,36515,5094531.0,0.0,5094531,5094531,BENIGN
53,121243,1,1,44,187,44,44,44.0,0.0,187,187,187.0,0.0,1905.264634,16.4957977,121243.0,0.0,121243,121243,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,8.247898848,8.247898848,44,187,91.66666667,82.56108849,6816.333333,0,0,0,0,0,0,0,0,1,137.5,44.0,187.0,32,0,0,0,0,0,0,1,44,1,187,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
